gen,nevals,avg,std,min,max
65,500,-7972.151072494461,1091.623342610249,-16283.894219742893,-5895.169438981643
66,500,-7917.954554032365,1117.2438996886203,-14506.032570937134,-5706.18795673792
67,500,-8031.763734188787,1209.2006166364188,-15695.0752516915,-5049.766499383853
68,500,-8041.821194790788,1337.6913162545907,-16013.032060386406,-5521.980056915079
69,500,-8027.10047340215,1247.9342141317443,-15109.559940011333,-5890.768277486779
70,500,-7958.699086059195,1133.2643201426324,-15951.29146079442,-5772.73481621953
71,500,-7941.765383378852,1074.425489273585,-16009.307941992132,-5722.316945794294
72,500,-8022.851355312477,1241.6528499105755,-15487.262342922437,-5838.193711175171
73,500,-8064.461902981121,1442.1972596801722,-15836.83089684839,-5446.3379573483535
74,500,-8085.781103129804,1422.5776990707336,-16334.951132326329,-5473.738002160283
75,500,-7964.35048663721,1279.5875030202012,-16128.39396336443,-5700.699657546501
76,500,-7902.127525944963,1093.1991460992253,-15225.970306258696,-5628.669093150039
77,500,-7908.304840051585,1082.5994076666304,-15340.065556156967,-5383.178490793651
78,500,-7988.198167252032,1362.2474198716072,-16179.861712594062,-5370.33531414995
79,500,-7970.417224149549,1072.0665856598673,-14575.94066594948,-6087.259369124121
80,500,-8032.191827388264,1213.2773104130697,-15743.378140988905,-5833.409107141373
81,500,-7992.266894035207,1160.1562133110635,-15822.971786805185,-6320.9703952338805
82,500,-7923.287565306755,1175.4034337005114,-15737.495365201228,-5631.031991864732
83,500,-7937.26271230507,1120.0757401357723,-15335.40310739003,-5671.323237581644
84,500,-7948.177112475235,1171.1101082054,-15454.60308579275,-5381.016249590487
85,500,-7928.484066045287,1111.6322849241624,-15605.157930046335,-5767.949537116893
86,500,-8008.338784879096,1363.794771258526,-16116.86147503916,-5780.586490534933
87,500,-8008.900747858965,1107.956265289511,-15168.79780540078,-5968.1356747426335
88,500,-8032.745628581618,1303.4343874260733,-16965.119767938108,-5904.198026449247
89,500,-7991.218287791968,1213.3401797316842,-15662.485691401966,-5816.077770784798
90,500,-7958.583829560418,1244.3098837762668,-15858.032790989955,-5825.3207828058385
91,500,-7968.170008374179,1119.4074739862851,-15233.289142015981,-5543.292044194221
92,500,-8032.110185240355,1282.459952561053,-16101.487440707268,-5860.543532660247
93,500,-7934.282108953688,1056.7198604570226,-16349.644939504971,-5836.369169757537
94,500,-8023.4599588819565,1230.0243886525436,-16537.404338157758,-5831.50728537309
95,500,-7914.78508269953,1159.3635052562518,-15912.236963673902,-5187.0067631885995
96,500,-8069.624598532654,1332.420148274988,-16148.854414235302,-5776.383536805605
