Instances 0: (2020, 7, 28)
-1.0 -1.0 -1.0 1.0 0.9999998807907104
-1.0 -1.0 -0.7964816689491272 0.9999974370002747 1.0
-1.0 -1.0 -0.9988906383514404 1.0 1.0
-1.0 -1.0 -0.9999927282333374 1.0 0.999998152256012
-1.0 -1.0 0.9999499917030334 1.0 0.8661093711853027
-1.0 -1.0 -1.0 1.0 0.999432384967804
-1.0 -1.0 -1.0 1.0 -0.7000032663345337
-1.0 -1.0 -1.0 0.9999999403953552 -0.9999995827674866
-1.0 -1.0 -1.0 0.999725878238678 -1.0
-1.0 -1.0 -1.0 0.28888553380966187 -1.0
