gen,nevals,avg,std,min,max
99,500,-1322.488721693254,589.6410949974095,-5367.909849823972,-480.953188276463
100,500,-1329.9071702121678,589.2639230458376,-5640.400680023318,-593.7864043023715
101,500,-1329.07831893028,615.9164899269547,-6531.83632617885,-486.8804686836785
102,500,-1361.890016459001,665.5682275217224,-5359.261457692056,-519.7587305596895
103,500,-1298.1597740429872,551.6234176983113,-5420.91791453572,-536.9479171483717
104,500,-1337.9883691063887,626.0295085756785,-5652.8221712789455,-640.4637067329999
105,500,-1358.3044393504965,677.0237392771311,-5232.380109998358,-480.19310780399985
106,500,-1370.677629607746,731.6985268312071,-7679.5953588120365,-399.2323503849999
107,500,-1375.2339440716341,712.2184763421346,-6240.129124141313,-289.94564785499995
108,500,-1379.0706081386995,743.2496936007808,-5532.141319126938,-509.2693173589999
109,500,-1322.0128414379255,626.946967642164,-5558.12630376917,-496.45969486103434
110,500,-1385.2982718210233,750.1621162846889,-5451.961873840894,-415.7825023859999
111,500,-1354.4600859881366,635.6864949029966,-5575.636517411999,-540.3620597396787
112,500,-1400.325444720319,796.2428997771094,-6010.106397889974,-586.2707202181552
113,500,-1326.766532685325,563.4071085827605,-5725.858151015001,-560.2119190402601
114,500,-1333.817326377912,675.0850896000375,-5790.860023154681,-562.488974745
115,500,-1348.584834716656,690.3307242659713,-5834.513764897199,-520.38291224
116,500,-1355.9048737548883,721.5038252614113,-7108.4753191359605,-534.4347401207501
117,500,-1328.8205950789481,650.6819999619943,-5718.7564904088595,-481.7675688379999
118,500,-1363.934672209708,716.3654519943158,-5648.325367835158,-590.8259833169999
119,500,-1356.3666079131729,669.8754714532469,-5516.6903382785,-510.71261285303433
120,500,-1363.9727115626874,713.6502330932527,-6748.430432530311,-578.7838397439016
121,500,-1304.2923007518716,642.094847037394,-5970.691283875076,-450.06284339499996
122,500,-1287.4600750775928,512.8275682159741,-5126.564807715906,-609.7566593054507
123,500,-1372.003502609843,671.8242033291617,-5660.690287533,-615.0092042119999
124,500,-1312.4474123457699,574.2037014249997,-5565.849769300318,-542.5274629950001
125,500,-1303.360885679504,559.5786868233912,-5404.233946544222,-510.7269068051466
126,500,-1338.0843612028502,636.4654327568127,-5565.717108247014,-552.0159353930001
127,500,-1298.9307450485164,445.6181066075034,-5086.1270364242455,-340.57027580499994
128,500,-1335.0982260991298,638.5397544903457,-5876.302570201218,-500.8242123079999
129,500,-1293.1995599480758,549.5513141440023,-5342.665693207464,-603.2962313113718
130,500,-1338.8526701221654,662.7477961425072,-5383.34752655564,-563.4860895979999
131,500,-1269.873665178069,438.2995575531687,-5546.964224722042,-535.4567041229999
132,500,-1315.246760018699,564.2959738439588,-5372.273825539266,-574.4677338325378
133,500,-1305.0337713233525,558.3828334009913,-5485.513091882608,-501.01553777599986
134,500,-1370.9918849522699,749.6937346129002,-6732.967661271041,-556.078298142
135,500,-1332.304345451055,607.6086240473733,-5230.247470439075,-482.641454362
136,500,-1320.1720782910263,571.5228119550259,-5464.650986837282,-519.4880497949999
137,500,-1293.4945399839517,541.7368216105896,-6305.369284794853,-555.3226158439999
138,500,-1286.3525549230521,511.82624926148253,-5155.781204008,-521.872077305
139,500,-1292.576977532282,467.04606829745893,-5209.4856635959995,-456.43694828299994
140,500,-1325.8083899622065,619.0451448262578,-6879.6610722012065,-448.777410572
141,500,-1321.1706722843712,573.7252756967632,-6633.32662457204,-530.0707470661306
142,500,-1295.452634649773,583.4286139438842,-5540.497443668546,-426.6181525023718
143,500,-1348.223364855343,636.0082299116572,-5717.509190158806,-523.856689430155
144,500,-1335.4628965865104,625.6909494701467,-6010.636989326535,-507.23952797000004
145,500,-1288.1867800310438,510.1690021430586,-5275.342750056,-393.676038229
146,500,-1291.1123283854388,477.35255587449154,-5280.854618361833,-610.723739421085
147,500,-1320.3410703396312,637.6982006806113,-5537.495183950484,-420.370886678
148,500,-1336.174890958953,615.6867334160906,-5351.271716098293,-494.99552901800007
149,500,-1274.9362490492574,488.9043857195814,-5008.901728594237,-540.2957154550029
150,500,-1341.1651653049976,582.0154589979832,-6810.959343878911,-461.5368232049999
151,500,-1295.5349881853112,552.2733082797519,-5373.0508044743,-465.2945706979999
152,500,-1346.1796465385078,670.1817347472537,-6418.510405270112,-591.0502286765761
153,500,-1301.371903366011,540.5843014929238,-5531.233237786729,-563.8536225989999
154,500,-1263.2452908664345,401.7200160839915,-5136.628361927,-501.15023899238247
155,500,-1315.1642765714034,572.9313723075396,-5323.706558055466,-445.82135406199995
156,500,-1320.149244623008,656.3263947488297,-5678.043995476795,-542.3575646649999
157,500,-1293.6796464328006,406.1768337725915,-4888.663003883465,-581.7666895603716
158,500,-1362.2491981837968,708.484505732063,-6353.951105774753,-526.0634125603825
159,500,-1329.973169408418,630.7644050625881,-6620.655298472613,-555.0712624680544
160,500,-1336.9792557173907,665.3740765157734,-5601.711043506601,-504.56350277045084
161,500,-1280.9890634468518,494.30221104050213,-5119.509844153834,-551.752513758
162,500,-1316.5974129562694,616.2983960927097,-5602.787290138813,-560.7478380160237
163,500,-1311.3704436156913,487.80299639380127,-5541.43164447136,-514.1963202919999
164,500,-1300.1282463093285,383.5400325767274,-5256.912706842029,-592.2512451989999
165,500,-1313.2999791024781,580.1295431945358,-5444.911705519466,-476.9854749972602
