time;heat(KW)
2017-05-21 21:00:00;486.14
2017-05-21 22:00:00;472.40
2017-05-21 23:00:00;485.28
2017-05-22 00:00:00;476.69
2017-05-22 01:00:00;472.40
2017-05-22 02:00:00;382.21
2017-05-22 03:00:00;468.96
2017-05-22 04:00:00;499.88
2017-05-22 05:00:00;547.98
2017-05-22 06:00:00;531.66
2017-05-22 07:00:00;506.75
2017-05-22 08:00:00;503.32
2017-05-22 09:00:00;466.39
2017-05-22 10:00:00;432.03
2017-05-22 11:00:00;428.59
2017-05-22 12:00:00;423.44
2017-05-22 13:00:00;428.59
2017-05-22 14:00:00;436.32
2017-05-22 15:00:00;450.07
2017-05-22 16:00:00;448.35
2017-05-22 17:00:00;438.04
2017-05-22 18:00:00;439.76
2017-05-22 19:00:00;462.95
2017-05-22 20:00:00;468.10
2017-05-22 21:00:00;453.50
2017-05-22 22:00:00;426.02
2017-05-22 23:00:00;455.22
2017-05-23 00:00:00;442.34
2017-05-23 01:00:00;424.30
2017-05-23 02:00:00;447.49
2017-05-23 03:00:00;450.93
2017-05-23 04:00:00;468.96
2017-05-23 05:00:00;483.56
2017-05-23 06:00:00;405.40
2017-05-23 07:00:00;486.14
2017-05-23 08:00:00;475.83
2017-05-23 09:00:00;450.07
2017-05-23 10:00:00;446.63
2017-05-23 11:00:00;451.78
2017-05-23 12:00:00;440.62
2017-05-23 13:00:00;437.18
2017-05-23 14:00:00;462.95
2017-05-23 15:00:00;444.91
2017-05-23 16:00:00;450.93
2017-05-23 17:00:00;446.63
2017-05-23 18:00:00;448.35
2017-05-23 19:00:00;371.91
2017-05-23 20:00:00;455.22
2017-05-23 21:00:00;453.50
2017-05-23 22:00:00;441.48
2017-05-23 23:00:00;428.59
2017-05-24 00:00:00;449.21
2017-05-24 01:00:00;441.48
2017-05-24 02:00:00;429.45
2017-05-24 03:00:00;449.21
2017-05-24 04:00:00;452.64
2017-05-24 05:00:00;488.72
2017-05-24 06:00:00;493.01
2017-05-24 07:00:00;466.39
2017-05-24 08:00:00;439.76
2017-05-24 09:00:00;438.90
2017-05-24 10:00:00;421.72
2017-05-24 11:00:00;417.43
2017-05-24 12:00:00;427.74
2017-05-24 13:00:00;433.75
2017-05-24 14:00:00;486.14
2017-05-24 15:00:00;471.54
2017-05-24 16:00:00;456.94
2017-05-24 17:00:00;435.47
2017-05-24 18:00:00;433.75
2017-05-24 19:00:00;450.93
2017-05-24 20:00:00;447.49
2017-05-24 21:00:00;426.88
2017-05-24 22:00:00;429.45
2017-05-24 23:00:00;423.44
2017-05-25 00:00:00;453.50
2017-05-25 01:00:00;443.20
2017-05-25 02:00:00;438.04
2017-05-25 03:00:00;449.21
2017-05-25 04:00:00;457.80
2017-05-25 05:00:00;469.82
2017-05-25 06:00:00;462.09
2017-05-25 07:00:00;462.09
2017-05-25 08:00:00;474.12
2017-05-25 09:00:00;453.50
2017-05-25 10:00:00;442.34
2017-05-25 11:00:00;515.34
2017-05-25 12:00:00;501.60
2017-05-25 13:00:00;495.59
2017-05-25 14:00:00;503.32
2017-05-25 15:00:00;510.19
2017-05-25 16:00:00;471.54
2017-05-25 17:00:00;465.53
2017-05-25 18:00:00;456.94
2017-05-25 19:00:00;452.64
2017-05-25 20:00:00;477.55
2017-05-25 21:00:00;487.86
2017-05-25 22:00:00;477.55
2017-05-25 23:00:00;483.56
2017-05-26 00:00:00;465.53
2017-05-26 01:00:00;470.68
2017-05-26 02:00:00;464.67
2017-05-26 03:00:00;473.26
2017-05-26 04:00:00;499.02
2017-05-26 05:00:00;541.11
2017-05-26 06:00:00;536.82
2017-05-26 07:00:00;512.77
2017-05-26 08:00:00;495.59
2017-05-26 09:00:00;454.36
2017-05-26 10:00:00;433.75
2017-05-26 11:00:00;465.53
2017-05-26 12:00:00;456.94
2017-05-26 13:00:00;430.31
2017-05-26 14:00:00;495.59
2017-05-26 15:00:00;468.10
2017-05-26 16:00:00;433.75
2017-05-26 17:00:00;428.59
2017-05-26 18:00:00;422.58
2017-05-26 19:00:00;439.76
2017-05-26 20:00:00;438.04
2017-05-26 21:00:00;450.93
2017-05-26 22:00:00;444.91
2017-05-26 23:00:00;434.61
2017-05-27 00:00:00;450.93
2017-05-27 01:00:00;469.82
2017-05-27 02:00:00;485.28
2017-05-27 03:00:00;509.33
2017-05-27 04:00:00;541.97
2017-05-27 05:00:00;590.93
2017-05-27 06:00:00;575.47
2017-05-27 07:00:00;553.14
2017-05-27 08:00:00;500.74
2017-05-27 09:00:00;481.85
2017-05-27 10:00:00;459.51
2017-05-27 11:00:00;460.37
2017-05-27 12:00:00;447.49
2017-05-27 13:00:00;436.32
2017-05-27 14:00:00;428.59
2017-05-27 15:00:00;418.29
2017-05-27 16:00:00;414.85
2017-05-27 17:00:00;418.29
2017-05-27 18:00:00;335.83
2017-05-27 19:00:00;432.89
2017-05-27 20:00:00;448.35
2017-05-27 21:00:00;348.72
2017-05-27 22:00:00;437.18
2017-05-27 23:00:00;431.17
2017-05-28 00:00:00;432.03
2017-05-28 01:00:00;432.03
2017-05-28 02:00:00;433.75
2017-05-28 03:00:00;456.08
2017-05-28 04:00:00;462.09
2017-05-28 05:00:00;493.01
2017-05-28 06:00:00;486.14
2017-05-28 07:00:00;499.88
2017-05-28 08:00:00;476.69
2017-05-28 09:00:00;452.64
2017-05-28 10:00:00;422.58
2017-05-28 11:00:00;410.56
2017-05-28 12:00:00;413.99
2017-05-28 13:00:00;420.86
2017-05-28 14:00:00;335.83
2017-05-28 15:00:00;422.58
2017-05-28 16:00:00;427.74
2017-05-28 17:00:00;418.29
2017-05-28 18:00:00;429.45
2017-05-28 19:00:00;434.61
2017-05-28 20:00:00;433.75
2017-05-28 21:00:00;469.82
2017-05-28 22:00:00;440.62
2017-05-28 23:00:00;458.66
2017-05-29 00:00:00;446.63
2017-05-29 01:00:00;442.34
2017-05-29 02:00:00;437.18
2017-05-29 03:00:00;457.80
2017-05-29 04:00:00;468.96
2017-05-29 05:00:00;480.99
2017-05-29 06:00:00;479.27
2017-05-29 07:00:00;499.02
2017-05-29 08:00:00;487.00
2017-05-29 09:00:00;449.21
2017-05-29 10:00:00;420.01
2017-05-29 11:00:00;414.85
2017-05-29 12:00:00;412.27
2017-05-29 13:00:00;419.15
2017-05-29 14:00:00;425.16
2017-05-29 15:00:00;341.84
2017-05-29 16:00:00;422.58
2017-05-29 17:00:00;431.17
2017-05-29 18:00:00;427.74
2017-05-29 19:00:00;439.76
2017-05-29 20:00:00;435.47
2017-05-29 21:00:00;435.47
2017-05-29 22:00:00;418.29
2017-05-29 23:00:00;417.43
2017-05-30 00:00:00;413.99
2017-05-30 01:00:00;436.32
2017-05-30 02:00:00;457.80
2017-05-30 03:00:00;464.67
2017-05-30 04:00:00;444.91
2017-05-30 05:00:00;462.95
2017-05-30 06:00:00;465.53
2017-05-30 07:00:00;456.94
2017-05-30 08:00:00;447.49
2017-05-30 09:00:00;443.20
2017-05-30 10:00:00;403.69
2017-05-30 11:00:00;397.67
2017-05-30 12:00:00;392.52
2017-05-30 13:00:00;395.96
2017-05-30 14:00:00;399.39
2017-05-30 15:00:00;417.43
2017-05-30 16:00:00;419.15
2017-05-30 17:00:00;411.42
2017-05-30 18:00:00;403.69
2017-05-30 19:00:00;426.02
2017-05-30 20:00:00;418.29
2017-05-30 21:00:00;395.10
2017-05-30 22:00:00;400.25
2017-05-30 23:00:00;379.64
