gen,nevals,avg,std,min,max
87,500,-1748.6694832959154,1195.7854036138272,-7876.196771956922,464.8771591559815
88,500,-1806.3542175253326,1208.6764673559849,-7815.379732207902,366.59307384854503
89,500,-1759.7780737778971,1301.8926208560588,-8433.951706771308,678.666983012621
90,500,-1662.2718726513403,1014.8604523599695,-9697.01866503205,436.1030977562403
91,500,-1718.034946740904,1086.6090782141955,-6683.720809853441,464.4183614059249
92,500,-1659.5446698103412,1105.9215233585314,-8732.1353372455,444.3634831911412
93,500,-1681.0498046121988,1074.573283808299,-7287.72527887817,285.5053261538484
94,500,-1775.4095199237138,1248.3497795769879,-7136.343287120086,586.3252555814562
95,500,-1777.9952147976044,1179.5653731920968,-8062.841553033456,693.5811133448054
96,500,-1687.7591168938802,1130.4683564634101,-7435.3868146044,441.89846004377307
97,500,-1776.2898905862883,1275.927858793945,-10588.842398964385,825.7878154277489
98,500,-1594.117876984908,1162.3263042520196,-7948.939940476479,676.2279554854334
99,500,-1815.4481505381189,1261.4921461516099,-8567.000715712344,370.7676708561477
100,500,-1713.3931135012856,1222.62213323231,-8485.626079775526,720.4953541309054
101,500,-1750.2264165667737,1174.6974249887567,-7796.160905013606,923.1007588843055
102,500,-1697.6396584245986,1172.4084204733285,-8772.869863250085,399.7860864602486
103,500,-1708.0785911228634,1075.036375815153,-7718.434841657055,788.1387316871255
104,500,-1706.7874817711013,1223.450883085345,-7661.724460454892,658.454424833663
105,500,-1736.3654654251022,1103.042840511662,-8342.093765400361,523.4683084255811
106,500,-1765.0963829689636,1161.7274347084533,-7096.754099597252,783.9560029159903
107,500,-1652.7250751761867,1081.5759374951638,-7534.91202799938,724.8728673582872
108,500,-1711.549505737137,1159.7736364165003,-7413.192165700505,332.00476460481116
109,500,-1760.60251585246,1257.5040837423617,-9039.791270492844,611.7795953963976
110,500,-1684.4764299234312,1082.442165625655,-7935.927818193997,708.5416249213727
111,500,-1846.2041359271552,1309.8757110790768,-8530.610602508877,494.0686906973862
112,500,-1715.5745646466448,1188.3911179571774,-9011.897682785286,1096.2637096882759
113,500,-1654.331381295663,1086.0012911674905,-7907.112510160431,799.5430431248093
114,500,-1667.7432813056166,1092.2428964655712,-7770.525529811195,681.2423130477669
115,500,-1703.7836844103695,1079.2243803564534,-6261.99613297362,593.7980952472199
116,500,-1735.27956807844,1165.696868176185,-7941.043550707307,468.460484125205
117,500,-1714.280203870498,1086.9787848407789,-7103.717718780483,369.1039220360385
118,500,-1797.7305293538952,1183.8170243649238,-8274.308634145858,463.11614483487057
119,500,-1729.3767975499352,1157.1777817720542,-8544.567170796694,653.5114777144046
120,500,-1699.608741213697,1158.9816170638,-7402.169438666479,472.21763875020616
121,500,-1638.1981929012222,980.3018627765371,-7007.730066367537,759.9190685150631
122,500,-1637.9800375082696,1140.4753440667573,-8766.086860999709,637.1099889976153
123,500,-1733.5344267023856,1077.5857633172993,-7705.408534186087,589.7699164147635
124,500,-1804.3391060939998,1176.4110042792863,-7790.038825453785,607.1077314328088
125,500,-1778.1156061676418,1123.0778995892445,-8577.71288461638,149.31026622526593
126,500,-1761.9725739159637,1274.7290453559917,-8248.692888920608,335.1229828244629
127,500,-1777.8147708818335,1240.6937526632098,-7278.306266510779,595.0294839402072
128,500,-1729.2087424134445,1218.9702402379683,-8788.363673572054,442.9392976795377
129,500,-1698.9224705497654,1029.9828112632729,-7285.956815105068,367.9116498161874
130,500,-1701.2043388538202,1218.702993057466,-8816.722900248733,284.99385590812074
131,500,-1696.544196094007,1087.4061404390372,-7877.790582604057,805.4813527925601
132,500,-1733.6619414287582,1123.491019041803,-8176.47776637488,600.2709370572979
133,500,-1719.7937345885573,1145.9166074008922,-8465.848174251745,696.758097392817
134,500,-1789.7427285105216,1255.9731888126742,-9349.358639695318,626.7223478114863
135,500,-1708.5398369720501,1238.639571355097,-9463.842366824068,1027.8555680393217
136,500,-1730.9197285266732,1278.0498017155712,-8237.18445367172,453.0199156863425
137,500,-1724.2221735781031,1177.8460431243677,-9309.07506986598,1164.945153318126
