Instances 0: (2020, 7, 28)
-1.0 -1.0 0.9965358972549438 -1.0 -1.0
-1.0 -1.0 0.9995943903923035 -1.0 -1.0
-1.0 -1.0 0.9270856380462646 -1.0 -1.0
-1.0 -1.0 -0.6706480979919434 -0.999995231628418 -1.0
-1.0 -1.0 0.9999895095825195 -1.0 -1.0
-1.0 -1.0 0.9902087450027466 -0.9987239241600037 -1.0
-1.0 -1.0 0.9998329877853394 -0.9999926686286926 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 1.0 -1.0 -1.0
-1.0 -1.0 -0.9740355014801025 -0.9885003566741943 -1.0
-1.0 -1.0 0.9999417066574097 -0.9992713928222656 -0.9999982118606567
-1.0 -1.0 0.9999997019767761 -0.9885327219963074 -1.0
-1.0 -1.0 0.9971956014633179 -0.999999463558197 -1.0
-1.0 -1.0 0.9999991059303284 -0.9999991059303284 -1.0
-1.0 -1.0 0.9999970197677612 0.9847568273544312 -0.9997588396072388
-1.0 -1.0 0.9609335064888 0.7552430629730225 -1.0
-1.0 -1.0 0.9988768696784973 -0.9986301064491272 -1.0
-1.0 -1.0 -0.242801234126091 -1.0 -1.0
-1.0 -1.0 -0.9154968857765198 0.9924213290214539 -1.0
-1.0 -1.0 -0.9998958110809326 -0.964206337928772 -1.0
-1.0 -1.0 -0.9999983906745911 -0.9999725222587585 -1.0
-1.0 -1.0 -0.9999950528144836 -1.0 -0.9999403357505798
